transaction_id,account_id,txn_date,txn_type,amount
186,32,2024-01-05,deposit,3370.3
187,32,2025-04-21,dividend,536.03
188,32,2025-04-23,deposit,4254.0
189,33,2025-01-21,deposit,-3944.18
190,33,2023-03-21,fee,9169.05
191,33,2023-04-14,deposit,5877.58
192,33,2023-07-14,dividend,-2103.21
193,33,2024-08-06,withdrawal,4379.88
194,33,2024-07-25,withdrawal,6237.92
195,34,2025-02-23,deposit,4579.36
196,34,2024-11-21,fee,1880.81
197,34,2023-04-17,dividend,-2497.86
198,34,2024-07-17,withdrawal,1023.36
199,34,2024-11-04,fee,-2627.35
200,35,2023-12-27,dividend,8537.27
201,35,2025-05-15,fee,575.79
202,35,2025-04-25,dividend,5888.02
203,35,2024-07-30,withdrawal,3184.39
204,35,2025-02-23,dividend,3253.58
205,35,2024-01-04,fee,9424.78
206,36,2023-01-01,dividend,5894.7
207,36,2024-09-02,fee,-4755.46
208,36,2023-11-06,withdrawal,-4901.47
209,36,2023-08-08,withdrawal,7835.81
210,36,2025-03-01,deposit,7329.1
211,37,2024-07-20,fee,2669.07
212,37,2023-04-07,withdrawal,-4433.96
213,37,2023-06-09,fee,-2923.88
214,37,2024-08-19,fee,-1252.15
215,37,2025-04-10,fee,-495.46
216,37,2024-08-05,dividend,8768.23
217,37,2025-01-10,deposit,-129.62
218,38,2024-05-14,withdrawal,7385.58
219,38,2024-09-01,deposit,4633.82
220,38,2025-01-18,deposit,7125.12
221,38,2023-03-22,dividend,6701.83
222,38,2023-12-23,fee,8196.89
223,39,2025-06-07,dividend,-3191.89
224,39,2025-02-04,withdrawal,4791.69
225,39,2024-10-11,deposit,6661.28
226,39,2023-02-25,dividend,-428.25
227,39,2023-11-23,deposit,3098.95
228,40,2024-05-29,fee,5466.53
229,40,2023-02-21,withdrawal,5104.53
230,40,2024-04-01,dividend,6292.6
231,41,2023-08-16,deposit,1479.04
232,41,2023-06-01,dividend,-3017.16
233,41,2024-05-02,deposit,3571.61
234,41,2024-07-15,deposit,987.87
235,41,2024-02-13,deposit,2527.35
236,41,2025-02-19,withdrawal,-2976.94
237,42,2024-05-14,withdrawal,929.78
238,42,2024-07-28,withdrawal,4239.95
239,42,2023-09-06,withdrawal,-3925.34
240,42,2023-11-28,dividend,5271.07
241,42,2023-04-26,deposit,5076.21
242,42,2024-01-10,dividend,224.62
243,43,2024-08-31,fee,4831.15
244,43,2023-06-23,fee,9814.78
245,43,2024-09-30,dividend,-2812.72
246,43,2025-04-17,deposit,-1497.66
247,44,2023-06-09,fee,6366.01
248,44,2023-04-26,deposit,6093.72
249,44,2024-09-27,withdrawal,8900.95
250,44,2023-01-15,fee,149.07
251,44,2023-11-09,deposit,1750.92
252,44,2023-12-06,deposit,-1864.86
253,44,2023-07-28,withdrawal,3196.36
254,45,2024-07-15,fee,2245.39
255,45,2024-12-12,withdrawal,5481.33
256,45,2024-01-21,deposit,3745.07
257,45,2023-09-19,deposit,-2445.21
258,45,2023-07-25,fee,6837.83
259,45,2023-02-24,fee,1974.41
260,45,2023-03-10,deposit,829.68
261,45,2024-11-09,fee,7781.24
262,46,2025-06-04,fee,-3381.63
263,46,2025-06-07,fee,8251.03
264,46,2023-08-25,dividend,9696.89
265,46,2023-11-20,deposit,2269.93
266,46,2023-07-10,deposit,-2016.87
267,46,2024-07-28,dividend,8895.25
268,46,2023-02-10,deposit,-1289.12
269,47,2023-12-08,fee,2348.99
270,47,2023-01-19,withdrawal,201.7
271,47,2023-12-30,fee,4378.46
272,47,2024-05-28,withdrawal,-861.83
273,47,2024-10-02,deposit,-1134.81
274,47,2025-04-14,dividend,9855.42
275,48,2023-08-19,fee,-2724.38
276,48,2024-11-03,dividend,-2941.09
277,48,2024-06-17,dividend,9409.09
278,48,2024-03-03,withdrawal,-1394.59
279,48,2024-03-12,withdrawal,9558.06
280,48,2024-04-04,fee,3133.51
281,49,2024-08-17,withdrawal,3120.31
282,49,2025-06-02,withdrawal,-2928.36
283,49,2024-03-16,withdrawal,9935.29
284,50,2024-11-02,withdrawal,8995.45
285,50,2023-11-22,withdrawal,-3982.79
286,50,2023-07-08,deposit,-236.04
287,50,2025-01-14,withdrawal,-4557.75
288,50,2024-02-28,fee,9417.94
289,50,2024-03-29,fee,6184.15
290,50,2023-06-05,fee,6686.62
291,50,2023-05-15,deposit,-2228.8
292,51,2024-09-12,fee,3505.65
293,51,2024-09-02,withdrawal,-1517.26
294,51,2024-01-03,deposit,-3807.87
295,51,2023-05-18,dividend,2534.87
296,51,2024-12-30,dividend,4743.53
297,51,2025-05-22,withdrawal,811.9
298,51,2023-05-21,dividend,-2543.2
299,51,2023-02-03,withdrawal,1128.84
300,52,2024-02-27,fee,-1661.69
301,52,2025-02-14,withdrawal,-1931.57
302,53,2025-06-06,dividend,4255.89
303,53,2025-06-06,fee,1863.17
304,53,2024-03-13,withdrawal,1073.0
305,54,2025-01-07,dividend,-306.54
306,54,2024-06-17,deposit,-3360.26
307,55,2025-06-17,deposit,9937.55
308,55,2025-01-22,dividend,-4411.23
309,55,2024-06-12,dividend,6477.4
310,55,2023-07-14,deposit,-632.31
311,55,2023-11-08,dividend,6605.16
312,56,2023-06-20,dividend,1336.93
313,56,2024-12-07,deposit,2754.54
314,56,2024-04-19,withdrawal,7448.4
315,56,2023-04-03,dividend,5839.7
316,57,2025-03-08,withdrawal,3781.72
317,57,2024-02-07,withdrawal,1203.39
318,58,2023-07-03,deposit,1805.21
319,58,2024-04-10,withdrawal,-3647.31
320,58,2024-12-09,fee,4728.65
321,58,2025-01-05,withdrawal,5998.93
322,58,2023-04-27,deposit,5593.4
323,59,2023-03-29,fee,2857.26
324,59,2025-01-14,dividend,6866.0
325,59,2024-01-23,withdrawal,3255.19
326,59,2025-02-25,deposit,-2436.73
327,59,2024-08-02,fee,8069.58
328,59,2023-06-16,withdrawal,8032.28
329,59,2025-02-26,withdrawal,5680.71
330,60,2023-11-13,fee,5952.43
331,60,2023-10-23,dividend,4396.79
332,60,2023-05-15,deposit,9406.51
333,60,2024-09-29,deposit,6480.94
334,60,2024-04-14,deposit,2464.41
335,61,2024-09-14,deposit,8240.54
336,61,2023-08-11,withdrawal,3832.93
337,61,2024-04-09,dividend,1152.27
338,61,2024-09-07,deposit,4001.53
339,61,2024-07-14,withdrawal,-828.31
340,62,2023-02-20,withdrawal,-2227.4
341,62,2024-10-30,deposit,235.3
342,62,2025-05-24,withdrawal,-4513.52
343,62,2023-12-06,fee,8805.77
344,62,2023-04-22,deposit,1254.35
345,62,2023-06-15,withdrawal,5081.36
346,62,2024-04-11,withdrawal,6240.02
347,63,2023-04-06,deposit,6527.68
348,63,2024-01-13,fee,8462.95
349,63,2025-02-15,deposit,1409.86
350,63,2023-10-27,deposit,2062.25
351,64,2023-12-04,fee,2905.79
352,64,2024-12-13,withdrawal,-1864.24
353,65,2024-08-08,deposit,5945.93
354,65,2024-05-10,deposit,5861.11
355,66,2024-03-13,fee,4132.67
356,66,2023-09-23,fee,2880.87
357,66,2023-05-13,fee,4214.35
358,66,2024-06-16,dividend,5937.77
359,66,2024-05-19,dividend,7119.71
360,66,2024-12-26,withdrawal,-642.68
361,67,2023-05-02,deposit,-4640.2
362,67,2025-01-25,deposit,7721.05
363,67,2024-02-28,dividend,-4317.62
364,68,2023-01-12,withdrawal,4609.27
365,68,2023-09-18,fee,6852.93
366,68,2023-11-04,fee,2600.34
367,68,2025-02-24,fee,-4908.03
368,69,2023-12-16,fee,940.74
369,69,2025-05-02,deposit,-2365.56
370,69,2025-05-03,fee,69.05
371,69,2024-04-30,dividend,6958.82
372,69,2024-05-08,withdrawal,-2669.21
373,69,2025-06-04,dividend,3054.51
374,69,2024-04-18,fee,6759.84
375,70,2025-05-05,deposit,2816.1
376,70,2024-07-22,fee,3038.28
377,70,2024-08-14,withdrawal,5282.4
378,70,2023-03-09,fee,9544.2
379,70,2025-05-10,fee,-4532.4
380,71,2024-08-07,withdrawal,4085.34
381,71,2024-09-01,withdrawal,-3247.33
382,71,2024-12-23,fee,7867.29
383,71,2023-10-06,deposit,1208.04
384,71,2025-06-17,dividend,-1435.37
385,72,2023-08-10,fee,2876.51
386,72,2023-04-25,withdrawal,613.24
387,72,2025-03-07,deposit,-1968.52
388,72,2024-03-30,deposit,2589.92
389,72,2024-05-27,dividend,-2688.83
390,73,2025-01-20,dividend,8108.19
391,73,2025-03-05,fee,-89.93
392,73,2025-04-21,deposit,9734.1
393,73,2023-07-30,withdrawal,5868.56
394,74,2024-12-31,dividend,7972.15
395,74,2023-01-05,deposit,-335.28
396,74,2024-12-04,deposit,7721.86
397,74,2023-12-08,deposit,2003.14
398,74,2023-04-16,deposit,2808.67
399,75,2023-01-24,fee,3663.4
400,75,2024-10-16,fee,8382.03
401,75,2023-07-25,fee,-2111.82
402,75,2024-06-29,fee,-212.75
403,75,2024-11-18,dividend,-3235.24
404,75,2023-06-11,withdrawal,-895.45
405,75,2024-09-29,deposit,3394.39
406,76,2024-07-09,withdrawal,254.77
407,76,2023-10-05,fee,-2876.65
408,77,2024-08-10,fee,-1327.62
409,77,2023-11-15,deposit,4198.94
410,77,2024-07-07,fee,1654.71
411,77,2023-01-30,withdrawal,2061.03
412,77,2023-04-19,deposit,753.99
413,77,2024-03-12,deposit,878.75
414,77,2024-09-23,dividend,334.36
415,78,2024-12-31,withdrawal,6376.04
416,78,2025-02-12,deposit,6466.42
417,78,2023-04-06,withdrawal,7192.77
418,78,2023-04-10,dividend,1833.76
419,79,2024-04-26,dividend,-1524.59
420,79,2023-05-28,withdrawal,7916.44
421,79,2024-01-08,fee,881.15
422,79,2025-03-18,fee,7911.87
423,79,2024-04-09,fee,2312.6
424,79,2024-05-01,deposit,-3306.69
425,79,2024-04-17,dividend,7686.49
426,80,2024-09-10,fee,3620.17
427,80,2024-02-20,deposit,7263.29
428,80,2023-11-30,deposit,3342.25
429,80,2025-03-22,deposit,-468.23
430,81,2024-08-27,dividend,1201.63
431,81,2024-07-15,withdrawal,-2614.7
432,81,2024-01-29,dividend,-4009.1
433,81,2025-04-13,withdrawal,5410.9
434,81,2025-03-14,dividend,9703.08
435,82,2024-07-11,fee,5412.0
436,82,2024-11-09,withdrawal,5044.08
437,82,2023-04-28,dividend,3882.45
438,82,2023-11-30,dividend,3326.32
439,82,2023-06-30,dividend,-379.46
440,82,2023-03-13,dividend,3973.89
441,83,2023-12-02,dividend,2414.43
442,83,2023-04-03,deposit,-1735.82
443,83,2024-08-17,withdrawal,8548.84
444,83,2025-02-14,deposit,-2799.12
445,83,2024-04-08,withdrawal,2968.84
446,83,2024-09-22,dividend,3668.97
447,83,2023-07-30,withdrawal,5222.75
448,84,2024-08-06,fee,6915.2
449,84,2024-03-21,fee,5766.87
450,84,2023-04-02,fee,3740.9
451,84,2025-05-17,dividend,-3086.66
452,85,2024-01-14,deposit,8516.14
453,85,2023-01-01,deposit,5550.31
454,85,2023-04-23,fee,7918.72
455,85,2023-08-29,deposit,1475.73
456,86,2024-10-02,dividend,-228.09
457,86,2024-02-20,dividend,723.48
458,86,2024-11-09,withdrawal,-2398.85
459,86,2023-07-12,withdrawal,3331.32
460,86,2025-05-10,fee,1258.53
461,86,2025-06-12,fee,5050.99
462,87,2023-03-15,deposit,4725.84
463,87,2025-01-08,withdrawal,8273.33
464,87,2023-05-20,dividend,-3730.05
465,88,2025-05-30,dividend,1840.43
466,88,2024-09-30,dividend,-2303.04
467,88,2024-07-19,dividend,7301.07
468,88,2023-12-30,dividend,-1613.89
469,88,2024-09-11,dividend,-4888.55
470,88,2025-05-17,dividend,5963.7
471,88,2024-02-25,fee,8898.47
472,89,2023-02-04,fee,9673.5
473,89,2024-12-22,dividend,528.68
474,89,2024-12-08,dividend,-3799.05
475,89,2024-04-21,fee,2754.24
476,89,2023-09-09,deposit,2086.77
477,89,2024-12-01,deposit,4505.31
478,90,2024-09-19,fee,-4208.39
479,90,2024-07-01,fee,6677.91
480,90,2024-04-09,dividend,2689.95
481,90,2024-08-10,dividend,6007.22
482,90,2023-12-28,dividend,9408.72
483,90,2023-10-24,fee,-2487.38
484,90,2025-01-14,fee,6775.32
485,90,2023-03-04,fee,4439.5
486,91,2024-08-09,withdrawal,-4225.7
487,91,2025-04-08,fee,6060.7
488,91,2023-10-21,deposit,2271.4
489,91,2024-06-01,withdrawal,-3847.07
490,91,2023-09-16,fee,-3011.92
491,91,2023-10-09,fee,7867.88
492,92,2024-09-10,deposit,-2380.79
493,92,2024-11-05,withdrawal,1699.8
494,93,2023-09-25,withdrawal,6737.92
495,93,2024-05-11,withdrawal,-2287.86
496,93,2023-12-18,deposit,9761.07
497,93,2024-09-01,withdrawal,9009.13
498,93,2025-05-07,withdrawal,2439.22
499,93,2025-02-27,dividend,747.5
500,93,2025-01-13,dividend,4563.62
501,93,2024-08-14,withdrawal,6015.42
502,94,2024-10-19,deposit,-1034.07
503,94,2023-02-23,deposit,-2485.99
504,94,2024-05-02,dividend,-479.49
505,94,2024-01-24,withdrawal,5252.65
506,95,2023-09-26,dividend,-2822.75
507,95,2023-01-13,dividend,-668.12
508,95,2024-01-27,dividend,5177.4
509,95,2023-04-10,deposit,8765.68
510,95,2025-05-14,fee,1476.79
511,96,2023-12-10,fee,-945.11
512,96,2023-09-19,deposit,4815.15
513,96,2024-04-17,dividend,6597.27
514,96,2025-01-21,withdrawal,5078.35
515,96,2024-06-16,withdrawal,61.1
516,96,2023-11-17,withdrawal,3214.19
517,96,2025-05-01,deposit,-3980.72
518,97,2024-06-21,deposit,-3441.39
519,97,2023-12-26,dividend,-1708.76
520,97,2023-09-15,fee,-2103.81
521,97,2024-09-26,deposit,-3620.88
522,97,2024-09-05,withdrawal,4571.24
523,98,2023-03-30,deposit,7846.61
524,98,2024-01-20,withdrawal,4845.92
525,98,2023-04-24,withdrawal,5434.8
526,98,2023-10-29,fee,2004.33
527,98,2024-10-16,deposit,1801.66
528,98,2025-02-26,fee,1404.75
529,98,2023-09-21,fee,-2570.51
530,99,2025-03-06,fee,-4064.19
531,99,2023-12-07,dividend,9939.38
532,100,2023-07-02,fee,1608.62
533,100,2023-07-25,dividend,4154.53
534,100,2024-10-22,withdrawal,2380.86
535,100,2024-07-07,withdrawal,6530.61
536,101,2024-03-28,deposit,5731.0
537,101,2023-02-05,deposit,-3906.21
538,101,2025-03-06,fee,1688.23
539,102,2024-10-30,withdrawal,4605.03
540,102,2024-11-11,deposit,857.26
541,102,2024-12-17,withdrawal,-52.54
542,102,2024-08-11,dividend,-4944.44
543,102,2024-05-04,dividend,1540.87
544,103,2024-07-07,deposit,-1612.3
545,103,2024-12-06,dividend,7269.65
546,103,2023-05-05,dividend,3508.66
547,103,2023-12-08,fee,5227.54
548,103,2023-02-26,dividend,4484.09
549,103,2024-01-10,deposit,3019.39
550,103,2023-03-24,fee,7617.72
551,103,2024-10-25,fee,-1953.19
552,104,2024-01-29,deposit,4911.01
553,104,2024-12-13,fee,851.57
554,104,2024-10-07,deposit,5332.64
555,104,2023-03-28,dividend,8278.21
556,104,2025-01-22,dividend,-2158.03
557,104,2023-07-17,deposit,-4619.53
558,105,2024-05-15,withdrawal,831.51
559,105,2024-05-26,fee,3009.1
560,105,2023-01-17,dividend,-4444.36
561,105,2023-12-12,deposit,6816.68
562,105,2024-02-20,deposit,-3227.19
563,105,2024-11-25,dividend,8053.0
564,106,2025-01-28,withdrawal,3690.19
565,106,2023-02-07,deposit,6031.9
566,106,2024-10-31,dividend,-4714.05
567,106,2023-09-06,deposit,5519.45
568,106,2023-01-15,withdrawal,-2416.26
569,106,2023-11-11,deposit,7311.09
570,107,2024-09-17,dividend,-2439.66
571,107,2025-04-17,deposit,7262.06
572,108,2024-09-01,dividend,6987.63
573,108,2023-03-06,withdrawal,7066.8
574,109,2025-04-10,fee,7538.44
575,109,2023-11-29,dividend,-3187.96
576,109,2023-11-26,withdrawal,7546.41
577,109,2025-02-21,withdrawal,-4316.2
578,109,2023-12-10,withdrawal,-4051.67
579,110,2025-02-14,withdrawal,1227.31
580,110,2024-07-20,fee,-2524.91
581,110,2024-08-18,withdrawal,-4389.52
582,110,2025-03-21,deposit,7710.5
583,111,2025-03-07,dividend,-2633.7
584,111,2023-03-24,dividend,-4904.76
585,111,2023-04-02,withdrawal,5601.12
586,111,2024-03-02,fee,5402.55
587,111,2024-12-09,dividend,-3096.61
588,111,2024-10-17,withdrawal,-935.75
589,112,2023-09-02,dividend,9071.34
590,112,2024-09-02,deposit,-2299.99
591,112,2024-09-18,dividend,9254.47
592,112,2023-12-23,fee,1281.79
593,112,2023-07-16,withdrawal,-3237.38
594,113,2024-09-25,deposit,428.52
595,113,2024-04-20,withdrawal,6554.97
596,113,2023-10-11,withdrawal,-4203.96
597,113,2025-03-26,deposit,-2761.74
598,113,2024-05-24,dividend,-2355.14
599,113,2023-02-25,deposit,4672.91
600,114,2024-03-21,withdrawal,-1229.27
601,114,2023-02-14,dividend,-3433.68
602,114,2024-07-04,deposit,-2361.69
603,114,2024-05-11,deposit,2723.56
604,115,2025-01-08,withdrawal,1672.31
605,115,2024-03-05,fee,-2018.73
606,116,2023-08-24,fee,6684.63
607,116,2023-08-22,fee,-3529.04
608,116,2025-06-09,dividend,-2000.66
609,116,2023-03-17,withdrawal,2064.85
610,116,2023-02-25,dividend,8357.33
611,116,2023-08-10,withdrawal,8918.31
612,116,2023-07-02,dividend,809.95
613,117,2025-01-07,dividend,-2087.68
614,117,2023-10-04,fee,-1966.84
615,117,2023-02-02,withdrawal,5383.16
616,118,2023-05-20,fee,-3333.36
617,118,2024-04-14,dividend,1273.36
618,119,2023-08-14,fee,8296.13
619,119,2025-03-19,withdrawal,6918.48
620,119,2024-08-14,withdrawal,9552.04
621,119,2023-03-30,withdrawal,1175.44
622,119,2025-06-01,dividend,9934.97
623,119,2025-05-07,dividend,1941.44
624,119,2025-01-17,deposit,1421.66
625,119,2023-09-11,withdrawal,-90.56
626,120,2024-08-28,withdrawal,9193.79
627,120,2024-03-03,deposit,9702.76
628,120,2024-04-26,deposit,6002.14
629,120,2024-03-11,deposit,2966.83
630,120,2025-04-09,dividend,6970.26
631,120,2024-04-08,deposit,2429.28
632,121,2024-12-10,deposit,5976.79
633,121,2023-05-16,withdrawal,376.09
634,122,2023-01-17,deposit,2196.74
635,122,2023-06-15,fee,5549.57
636,122,2024-04-10,deposit,1956.41
637,123,2023-07-09,dividend,6847.88
638,123,2024-10-03,fee,1964.44
639,123,2025-05-31,deposit,4409.58
640,124,2024-06-27,fee,-4509.29
641,124,2025-02-09,dividend,-953.16
642,124,2025-03-17,withdrawal,5269.98
643,124,2025-01-23,fee,8983.65
644,124,2023-02-22,fee,-3335.5
645,125,2024-09-25,dividend,-4386.88
646,125,2023-06-29,fee,4722.59
647,125,2024-07-28,deposit,5640.06
648,125,2023-05-22,withdrawal,9718.77
649,126,2024-10-26,deposit,2177.4
650,126,2025-02-10,withdrawal,6175.25
651,126,2023-11-25,withdrawal,290.68
652,127,2023-10-11,dividend,-4183.1
653,127,2023-12-20,fee,1786.16
654,127,2024-04-26,deposit,5647.38
655,127,2024-04-07,fee,4314.27
656,128,2023-07-12,deposit,8378.55
657,128,2023-03-31,dividend,-3797.44
658,128,2023-10-23,withdrawal,9373.85
659,128,2023-04-22,deposit,-2528.51
660,128,2024-12-14,deposit,-2780.69
661,128,2025-06-14,withdrawal,-1936.16
662,128,2023-10-28,deposit,1248.05
663,128,2024-04-30,withdrawal,200.5
664,129,2023-10-26,deposit,-2164.09
665,129,2025-06-11,deposit,7029.84
666,129,2024-02-26,fee,3680.57
667,129,2024-05-12,fee,3900.36
668,129,2024-04-13,dividend,-438.76
669,130,2023-06-25,fee,6839.02
670,130,2024-05-10,withdrawal,578.53
671,130,2025-02-27,fee,7682.71
672,131,2023-10-19,fee,1838.9
673,131,2024-09-25,withdrawal,8861.97
674,131,2023-07-06,fee,9598.09
675,132,2023-06-15,withdrawal,-1431.42
676,132,2023-11-21,deposit,3617.88
677,132,2023-09-24,dividend,545.08
678,132,2024-07-29,withdrawal,5607.02
679,132,2023-12-19,fee,-2780.84
680,132,2024-07-06,dividend,9631.99
681,132,2023-05-05,fee,8806.51
682,132,2024-05-26,dividend,6527.77
683,133,2023-06-09,fee,-4935.59
